date,year,d1,d2,d3,d4,central_total,d5,d6,western_total,total
31-Dec,1860,3699,,,,2064,,,354,6119
,1861,3305,,,,1833,,,477,5615
,1862,3189,,,,2408,,,547,6145
,1863,3944,,,,3275,,,571,7790
,1864,4288,,,,3348,,,634,8271
,1865,4209,,,,3033,,,889,8132
,1866,4718,3350,840,1212,5404,,,1439,11562
,1867,5489,4374,510,1498,6383,,,2036,13909
,1868,6680,4312,643,1611,6567,,,1833,15080
,1869,6656,4511,612,1419,6543,,,1790,14989
,1870,6782,4755,998,1691,7445,,,2080,16308
,1871,6629,5009,679,1692,7382,,,2266,16278
,1872,7109,5648,1011,1370,8030,,,2420,17560
,1873,6546,6661,1766,1633,10061,,,3319,19928
,1874,7750,7296,2422,1884,11603,,,3518,22872
,1875,7823,7618,1888,2687,12194,,,4087,24319
,1876,8214,7432,2185,2338,11956,,,4035,24449
,1877,7236,6111,1492,1588,9192,,,4354,20961
,1878,8608,7539,2085,1386,11011,,,4094,23967
,1879,10424,8925,2924,1460,13309,,,5053,29043
,1880,10994,8609,4337,3042,15990,3392,1991,5384,32318
,1881,9942,9198,3277,2414,14889,5356,2873,8230,33062
,1882,8721,7335,3339,2780,13455,5947,3671,9619,31796
,1883,10235,8781,3153,2942,14877,5559,3746,9306,34418
,1884,10494,7335,2658,2531,12525,4323,3037,7360,30379
,1885,10346,8699,3839,2539,15078,5233,3893,9127,34551
,1886,11106,8653,4341,3295,16291,5962,4168,10130,37528
,1887,11616,9827,5125,3959,18912,7259,5048,12307,42837
,1888,12290,10061,5213,3709,18984,5539,5522,11061,42336
,1889,14106,12126,5845,4898,22869,6382,6118,12501,49477
,1890,16490,12013,7699,6014,25726,5886,6009,11895,54113
,1891,16693,13476,7865,6348,27689,6617,6969,13587,57971
,1892,17623,11705,6513,7235,25454,6263,6113,12377,55455
,1893,16196,10098,6699,8069,24867,5491,7345,12836,53900
,1894,15101,12108,7132,8383,27624,5428,7982,13411,56143
,1895,12581,10867,6042,6308,23218,4670,6037,10708,46508
,1896,13724,10324,6448,6884,23657,4631,5998,10630,48011
,1897,13229,8129,5465,7245,20840,4249,5633,9882,43952
,1898,14070,7171,5537,5550,18258,3503,5417,8920,41248
,1899,13953,6430,4287,5250,15967,2276,3936,6211,36214
,1900,15463,8297,4837,5866,19000,2550,2815,5365,40021
,1901,16665,8747,4887,5904,19538,2626,2896,5523,41857
,1902,13233,4907,2172,2701,9780,1307,2319,3626,26649
,1903,12371,5469,2937,3714,12120,1443,2537,3980,28659
,1904,14135,6696,3545,5045,15286,1979,3145,5124,34527
,1905,15730,7877,4284,5828,17989,2620,3167,5787,39507
,1906,16800,9598,4815,6606,21019,2851,3448,6299,44132
,1907,17644,8108,4856,7141,20105,2766,3949,6715,44462
,1908,17480,7845,4534,8174,20553,2787,3869,6656,44680
,1909,18450,9466,5400,8694,23560,3165,3847,7013,48980
,1910,19114,9935,5861,8982,24778,3523,4052,7575,51580
,1911,18453,8895,5784,7889,22568,3593,4296,7890,48830
,1912,16041,7529,4938,6821,19288,3462,4104,7566,42930
,1913,16534,7555,5111,7471,20137,3253,3804,7056,43739
30-Jun,1915,14900,4682,4794,7445,16921,1909,3166,5075,36899
,1916,14387,6722,4334,6343,17399,2204,2483,4687,36490
,1917,14665,7569,5159,7024,19752,2633,3135,5769,40090
,1918,14477,9485,5356,6580,21421,2925,3160,6569,42520
,1919,15008,9929,5914,6201,22044,2913,3231,6117,43170
,1920,14241,6740,3900,4448,15088,1862,1971,3805,33150
,1921,14287,8183,4537,5681,18401,2335,2730,5051,37750
,1922,15073,8870,5121,6330,20321,2642,3032,5646,41068
,1923,13995,7640,5940,6308,19888,2495,2921,4871,38760
,1924,13720,8798,6910,6626,22334,2836,3110,5386,41440
,1925,14599,9520,8318,7956,25794,3280,3427,6707,47100
,1926,15819,10720,9805,8956,29481,3852,4708,8559,53859
,1927,17603,10884,10306,9404,30594,3392,4341,7733,55930
,1928,16344,9359,9333,9836,28528,2398,3454,5852,50724
,1929,17369,9604,9094,8963,27634,2399,2963,5362,50392
,1930,17802,8616,8505,9145,26266,2314,2578,4892,48960
,1931,,,,,,,,,
31-Mar,1932,,,,,,,,,
,1933,,,,,,,,,
,1934,,,,,,,,,
,1935,,,,,,,,,
,1936,,,,,,,,,
,1937,,,,,,,,,
,1938,,,,,,,,,
,1939,,,,,,,,,
,1940,,,,,,,,,
,1941,,,,,,,,,
,1942,,,,,,,,,
,1943,,,,,,,,,
,1944,,,,,,,,,
,1945,,,,,,,,,
,1946,,,,,,,,,
,1947,,,,,,,,,
,1948,,,,,,,,,
,1949,,,,,,,,,
,1950,,,,,,,,,
,1951,,,,,,,,,
,1952,,,,,,,,,
,1953,,,,,,,,,
,1954,,,,,,,,,
,1955,,,,,,,,,
,1956,,,,,,,,,
,1957,,,,,,,,,
