year,rain
1885.40004,486.8815295
1884.402735,537.0171896
1883.406872,581.8742732
1882.438052,527.7580472
1881.33294,522.4673019
1880.445245,621.4311468
1886.245549,542.3160476
1887.430705,704.6457963
1888.490387,426.2117019
1889.259097,762.7304194
1890.378632,715.2353996
1891.499608,662.4618033
1892.363867,649.2748267
1893.344586,659.8427965
1894.324223,674.3696987
1895.357223,493.5892698
1896.333976,518.673325
1897.319743,510.766277
1898.426658,509.4588017
1899.270004,572.8111845
1900.250002,586.0184426
1901.259206,492.3345262
1902.616348,475.1940255
1903.555963,636.201426
1904.572738,514.8049829
1905.540838,571.5604972
1906.503529,648.1106734
1907.526073,505.5999243
1908.380957,526.723695
1909.462272,619.1109529
1910.437583,649.4735846
1911.424071,638.9272483
1912.450581,481.9004137
1913.530814,578.246604
1914.562733,401.4251075
1915.519655,499.0895898
1916.446651,706.2845347
1917.418356,749.8436077
1918.20834,558.5033216
1919.440729,547.9596896
1920.523125,636.388015
1921.387023,624.5206825
1922.272195,534.7943464
1923.486916,588.9132767
1924.457179,637.7509262
1925.596544,517.6754793
1926.462606,497.890282
1927.460992,443.7956895
1928.403853,592.9262928
1929.39611,561.2656505
1931.352861,599.5569637
1930.259287,552.0376063
